Abbreviate, shorten
Abstinence, act of refraining from
Adulation, high praise
adversity, misfortune
aesthetic, pertaining to beauty
amicable, agreeable
anachronistic, out-of-date
anecdote, short account
anonymous, nameless
antagonist, opponent
arid, dry
assiduous, hard-working
asylum, sanctuary
benevolent, helpful
camaraderie, trust among friends
censure, to criticize harshly
circuitous, indirect
clairvoyant, able to see the future
collaborate, to work together
compassion, sympathy
compromise, to settle differences
condescending, patronizing
conditional, provisional
conformist, follower of customs
congregation, crowd of people
